route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
1028      ,1         ,1028                                              ,N. ESPERANÇA (PF1) - JD. BRASIL/USC (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
19A       ,1         ,19A                                               ,UNIP (PF1) - CENTRO (PF2) - PROLONGAMENTO ATÉ A CRAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,atend Chac. Bauruense/CRAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,3
19C       ,1         ,19C                                               ,UNIP/MAKRO/JD. NICÉIA/CAMPO NOVO (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,via Jd. Santos Dumont                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,3
19G       ,1         ,19G                                               ,CRAL/LAGO SUL (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,atend. Chac. Bauruense/CRAL com prol. Lago Sul                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,3
2117      ,1         ,2117                                              ,JD. GODOY (PF1) - TERRA BRANCA ( PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
254       ,1         ,254                                               ,FALCÃO/IBC (PF1) - CARDIA/GUADALAJARA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
30        ,1         ,30                                                ,PRES. GEISEL (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
3240      ,1         ,3240                                              ,CAMPUS/CTI (PF1) -  JD. OURO VERDE/GRANJA CECÍLIA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
3288      ,1         ,3288                                              ,CAMPUS/CAMÉLIAS (PF1) - FALCÃO/ITE (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
3288A     ,1         ,3288A                                             ,CAMPUS/CAMÉLIAS (PF1) - FALCÃO/ITE (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,prol. até Jd. Contorno                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,3
3773      ,1         ,3773                                              ,N. GASPARINI (PF1)  -  VL. ZILLO/JD. ESTORIL (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
3841      ,1         ,3841                                              ,ARARUNA/PERDIZES (PF1) - JD. GAIVOTA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
